                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.98914,                0.74304,                 1.2867,                0.82401,                 0.7818,                0.85955,                0.61177,                  0.287,                 2.4883,                0.38739,              0.0082675,              0.0082675,              0.0082675
                     37,                0.98134,                0.73569,                 1.2833,                 0.8701,                0.76628,                0.85975,                0.61879,                0.27913,                 1.5214,                  0.381,               0.008218,               0.008218,               0.008218
                     38,                 0.9659,                0.72179,                 1.2706,                0.87414,                0.76818,                0.85715,                0.62046,                0.28631,                 1.4837,                0.38045,              0.0081685,              0.0081685,              0.0081685
                     39,                0.96431,                0.71698,                 1.2641,                0.88524,                0.75921,                0.85166,                0.59669,                 0.2844,                 3.9416,                0.38864,               0.008119,               0.008119,               0.008119
                     40,                0.96305,                0.71403,                 1.2587,                 0.8217,                0.84568,                0.87795,                0.63592,                0.28102,                 1.8983,                0.37791,              0.0080695,              0.0080695,              0.0080695
                     41,                0.94835,                0.70327,                 1.2479,                0.85383,                0.82304,                0.88318,                0.63997,                0.27374,                 1.7776,                0.38059,                0.00802,                0.00802,                0.00802
                     42,                0.93964,                0.69166,                 1.2475,                0.85489,                0.81479,                0.88209,                0.63437,                 0.2722,                 3.0528,                0.38233,              0.0079705,              0.0079705,              0.0079705
                     43,                0.92691,                0.68757,                 1.2396,                0.90757,                0.73514,                0.87552,                0.63987,                0.26776,                 3.0502,                0.37216,               0.007921,               0.007921,               0.007921
                     44,                0.92476,                 0.6796,                 1.2389,                0.82152,                0.82804,                0.87109,                0.64533,                0.26229,                 1.8404,                0.37074,              0.0078715,              0.0078715,              0.0078715
                     45,                0.91462,                 0.6768,                 1.2337,                0.88267,                0.81852,                0.88294,                0.65011,                0.26759,                 1.9786,                0.37329,               0.007822,               0.007822,               0.007822
                     46,                0.91939,                0.67311,                 1.2306,                0.87303,                0.84456,                0.88595,                0.64398,                0.27224,                 1.3956,                0.37651,              0.0077725,              0.0077725,              0.0077725
                     47,                0.89908,                0.65681,                 1.2137,                0.86023,                0.84952,                0.88026,                0.65548,                0.25958,                 1.2313,                0.37463,               0.007723,               0.007723,               0.007723
                     48,                0.89998,                0.66088,                 1.2233,                0.83615,                0.83332,                0.88136,                0.64805,                0.26297,                0.71185,                0.38116,              0.0076735,              0.0076735,              0.0076735
                     49,                0.88783,                0.65447,                 1.2127,                0.85261,                0.81797,                0.87538,                0.64198,                 0.2571,                   1.03,                0.37589,               0.007624,               0.007624,               0.007624
                     50,                0.89032,                 0.6527,                 1.2142,                0.81819,                 0.8368,                0.87255,                0.63836,                0.26808,                 1.6086,                0.38087,              0.0075745,              0.0075745,              0.0075745
                     51,                0.87775,                0.63918,                 1.2062,                0.82913,                0.84027,                0.87425,                 0.6452,                0.26914,                0.57411,                0.38214,               0.007525,               0.007525,               0.007525
                     52,                0.87251,                0.63388,                 1.1942,                0.82366,                0.80358,                0.86682,                0.65345,                0.25049,                0.73447,                0.37397,              0.0074755,              0.0074755,              0.0074755
                     53,                0.86654,                0.63255,                 1.1956,                 0.8025,                0.82183,                0.86417,                0.63745,                0.26769,                0.43115,                0.37896,               0.007426,               0.007426,               0.007426
                     54,                0.86253,                0.62927,                 1.1938,                0.86901,                0.76673,                0.88771,                0.65907,                0.26254,                0.76054,                0.37453,              0.0073765,              0.0073765,              0.0073765
                     55,                0.85717,                  0.623,                 1.1899,                0.86823,                 0.8073,                0.88257,                0.66092,                0.25535,                0.61003,                0.36637,               0.007327,               0.007327,               0.007327
                     56,                0.86013,                0.62843,                 1.1846,                0.88456,                0.83259,                0.88765,                0.65211,                0.26316,                0.46815,                0.37389,              0.0072775,              0.0072775,              0.0072775
                     57,                0.84886,                0.61232,                  1.177,                0.85081,                0.81603,                0.88401,                0.64185,                0.26143,                0.90431,                 0.3755,               0.007228,               0.007228,               0.007228
                     58,                0.83937,                0.60991,                 1.1752,                0.88574,                0.82416,                0.88606,                0.64441,                0.26016,                0.57799,                0.37441,              0.0071785,              0.0071785,              0.0071785
                     59,                0.83715,                0.60478,                 1.1714,                0.85409,                0.80704,                0.87913,                 0.6522,                0.25261,                0.58486,                0.36716,               0.007129,               0.007129,               0.007129
                     60,                0.83235,                0.60281,                 1.1712,                0.81129,                0.88064,                0.88979,                0.66237,                0.25635,                0.61684,                0.36937,              0.0070795,              0.0070795,              0.0070795
                     61,                0.82049,                0.59736,                 1.1628,                0.84309,                0.82738,                0.89829,                0.67471,                0.25391,                0.98587,                0.37033,                0.00703,                0.00703,                0.00703
                     62,                0.82099,                0.59137,                 1.1637,                0.84998,                0.86026,                0.89448,                0.66222,                0.25564,                0.39038,                  0.371,              0.0069805,              0.0069805,              0.0069805
                     63,                0.81237,                0.58923,                 1.1587,                0.87517,                0.82372,                0.88695,                0.65428,                 0.2503,                 0.4077,                0.37403,               0.006931,               0.006931,               0.006931
                     64,                0.81728,                0.58926,                 1.1605,                0.85093,                0.81071,                0.87279,                0.63885,                0.25114,                0.78443,                 0.3759,              0.0068815,              0.0068815,              0.0068815
                     65,                 0.8099,                 0.5882,                 1.1595,                0.84522,                0.83551,                0.88016,                0.64858,                0.25666,                0.95189,                0.37822,               0.006832,               0.006832,               0.006832
                     66,                0.80213,                0.58143,                 1.1525,                0.87017,                0.84302,                 0.8853,                0.66391,                0.24793,                0.81775,                0.37277,              0.0067825,              0.0067825,              0.0067825
                     67,                0.80484,                0.58008,                 1.1519,                 0.8854,                0.82127,                0.88049,                0.66354,                0.24517,                0.84743,                0.37166,               0.006733,               0.006733,               0.006733
                     68,                0.80017,                0.57565,                 1.1444,                0.82122,                0.87318,                0.88442,                0.67521,                0.25373,                0.71408,                0.37262,              0.0066835,              0.0066835,              0.0066835
                     69,                0.78693,                0.56968,                 1.1412,                0.84391,                0.87346,                0.88579,                0.67211,                0.25337,                0.95069,                0.37241,               0.006634,               0.006634,               0.006634
                     70,                 0.7893,                0.57149,                 1.1409,                0.81887,                0.88866,                0.88744,                0.67501,                0.24967,                0.57091,                0.37332,              0.0065845,              0.0065845,              0.0065845
                     71,                 0.7822,                0.56739,                 1.1398,                0.86211,                0.85218,                0.89102,                0.66663,                0.25279,                0.63987,                0.37344,               0.006535,               0.006535,               0.006535
                     72,                0.78109,                0.56618,                 1.1366,                0.85261,                0.88199,                0.89638,                0.67177,                0.25285,                0.53637,                0.37337,              0.0064855,              0.0064855,              0.0064855
                     73,                0.78139,                0.56404,                 1.1345,                0.86428,                0.88771,                0.90464,                0.67308,                0.24704,                0.39053,                0.37059,               0.006436,               0.006436,               0.006436
                     74,                 0.7737,                0.56081,                 1.1308,                 0.8848,                0.85502,                0.89639,                0.66697,                0.25231,                0.42373,                0.37866,              0.0063865,              0.0063865,              0.0063865
                     75,                0.77461,                0.55569,                 1.1242,                0.88934,                0.86019,                0.88382,                 0.6635,                0.25003,                  0.383,                0.38027,               0.006337,               0.006337,               0.006337
                     76,                0.76094,                0.54915,                 1.1185,                0.86999,                0.86107,                0.89475,                0.67305,                0.24788,                0.30469,                0.37552,              0.0062875,              0.0062875,              0.0062875
                     77,                 0.7648,                0.55165,                 1.1252,                0.87624,                0.86092,                0.88939,                0.66834,                0.24615,                0.33582,                0.37338,               0.006238,               0.006238,               0.006238
                     78,                0.75873,                0.54265,                 1.1203,                0.86635,                0.86653,                 0.8837,                0.66935,                0.24752,                0.33529,                0.37413,              0.0061885,              0.0061885,              0.0061885
                     79,                0.76291,                0.54776,                 1.1195,                0.88968,                0.83392,                0.88848,                0.67025,                0.24852,                0.40316,                0.37254,               0.006139,               0.006139,               0.006139
                     80,                0.74766,                0.53643,                 1.1128,                0.91114,                0.82962,                0.89734,                0.67795,                0.24877,                 0.2499,                0.37318,              0.0060895,              0.0060895,              0.0060895
                     81,                0.74367,                0.53473,                 1.1107,                0.85996,                 0.8876,                0.89901,                  0.676,                0.24857,                0.30139,                0.37344,                0.00604,                0.00604,                0.00604
                     82,                0.74594,                0.53702,                 1.1095,                0.88023,                0.88653,                0.89927,                0.68087,                0.24828,                0.35397,                0.37304,              0.0059905,              0.0059905,              0.0059905
                     83,                0.74452,                0.53588,                  1.114,                0.89712,                0.86954,                 0.8982,                 0.6805,                0.24948,                0.32593,                0.37497,               0.005941,               0.005941,               0.005941
                     84,                0.74027,                0.53075,                 1.1049,                0.86309,                0.88971,                0.89631,                0.68051,                0.24889,                0.24477,                0.37446,              0.0058915,              0.0058915,              0.0058915
                     85,                0.73381,                0.53099,                 1.1021,                0.87949,                0.87465,                0.89609,                 0.6813,                0.24593,                0.29115,                0.37253,               0.005842,               0.005842,               0.005842
                     86,                0.73437,                 0.5299,                 1.1067,                0.85643,                0.89382,                0.89799,                0.68285,                0.24338,                 0.3127,                0.37445,              0.0057925,              0.0057925,              0.0057925
                     87,                0.72238,                0.51713,                 1.0954,                0.87693,                0.86546,                0.89861,                0.68226,                0.24179,                0.29926,                0.37529,               0.005743,               0.005743,               0.005743
                     88,                0.73031,                0.52713,                 1.0981,                0.87264,                0.86096,                0.89551,                 0.6811,                0.24427,                0.28722,                 0.3782,              0.0056935,              0.0056935,              0.0056935
                     89,                0.72294,                 0.5211,                 1.0995,                0.89186,                0.85049,                0.89147,                0.67642,                0.24421,                0.27384,                0.37782,               0.005644,               0.005644,               0.005644
                     90,                0.71756,                0.51495,                 1.0918,                0.88013,                0.85203,                0.89318,                0.68208,                0.24262,                0.29653,                0.37838,              0.0055945,              0.0055945,              0.0055945
                     91,                0.71293,                0.51149,                 1.0905,                 0.8863,                0.83792,                0.89072,                0.68484,                0.24097,                0.31148,                0.37739,               0.005545,               0.005545,               0.005545
                     92,                0.71451,                0.50904,                 1.0885,                0.84419,                0.85294,                0.88834,                 0.6841,                0.24156,                0.28035,                0.37718,              0.0054955,              0.0054955,              0.0054955
                     93,                0.70852,                0.51419,                 1.0943,                0.83278,                 0.8615,                0.88683,                0.68398,                0.24184,                0.26321,                0.37901,               0.005446,               0.005446,               0.005446
                     94,                0.70695,                0.51205,                  1.092,                 0.8558,                0.86456,                0.89626,                0.69101,                0.23915,                0.30038,                0.37699,              0.0053965,              0.0053965,              0.0053965
                     95,                0.69819,                0.50346,                 1.0854,                0.86599,                0.85943,                0.89789,                0.69818,                 0.2345,                0.32757,                0.37446,               0.005347,               0.005347,               0.005347
                     96,                0.69627,                0.49618,                 1.0833,                0.86502,                0.87138,                0.90135,                0.70279,                0.23372,                0.33984,                0.37282,              0.0052975,              0.0052975,              0.0052975
                     97,                0.70075,                0.49558,                 1.0829,                0.88241,                0.85241,                0.89755,                0.69408,                0.23408,                0.38061,                0.37184,               0.005248,               0.005248,               0.005248
                     98,                0.69979,                0.49833,                 1.0835,                0.88906,                0.84828,                0.89769,                0.69773,                0.23186,                0.54907,                0.36961,              0.0051985,              0.0051985,              0.0051985
