                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     10,                 1.5049,                 1.6854,                 1.7519,                 0.7318,                0.41063,                 0.5194,                0.30678,                0.43669,                 10.378,                0.54624,               0.009109,               0.009109,               0.009109
                     11,                 1.4917,                 1.6503,                 1.7384,                0.63074,                0.43516,                0.48349,                0.28828,                0.41792,                  30.11,                0.51757,                0.00901,                0.00901,                0.00901
                     12,                 1.4805,                 1.6214,                 1.7288,                0.69245,                0.53964,                0.56875,                0.34514,                 0.4258,                 26.365,                0.52502,               0.008911,               0.008911,               0.008911
                     13,                  1.457,                  1.573,                 1.7168,                 0.7355,                0.49019,                0.57776,                0.37653,                 0.3994,                 19.931,                0.51469,               0.008812,               0.008812,               0.008812
                     14,                 1.4413,                 1.5519,                 1.7001,                0.75158,                0.53785,                0.60632,                0.38069,                0.42785,                 24.523,                0.53331,               0.008713,               0.008713,               0.008713
                     15,                  1.426,                 1.5276,                 1.6843,                0.70948,                0.50915,                0.58421,                0.38329,                0.39682,                 41.263,                0.50417,               0.008614,               0.008614,               0.008614
                     16,                 1.4161,                  1.486,                 1.6707,                0.83537,                0.47729,                0.60043,                0.37165,                0.37926,                 11.609,                0.49965,               0.008515,               0.008515,               0.008515
                     17,                 1.4105,                 1.4699,                 1.6699,                0.64328,                0.56956,                0.61393,                0.37237,                0.40337,                 13.073,                0.50758,               0.008416,               0.008416,               0.008416
                     18,                 1.3975,                 1.4493,                 1.6574,                0.71816,                0.57322,                0.63092,                0.41428,                0.38658,                 15.679,                0.49106,               0.008317,               0.008317,               0.008317
                     19,                 1.3817,                 1.4223,                 1.6523,                0.77405,                0.54073,                0.64111,                 0.4252,                0.36757,                 23.877,                 0.4849,               0.008218,               0.008218,               0.008218
                     20,                 1.3723,                 1.3992,                  1.635,                0.77741,                0.58258,                0.68987,                0.44811,                 0.3766,                 8.6786,                0.48952,               0.008119,               0.008119,               0.008119
                     21,                 1.3608,                  1.373,                 1.6274,                0.84118,                0.51576,                0.66879,                0.45055,                0.35507,                 22.666,                0.47217,                0.00802,                0.00802,                0.00802
                     22,                 1.3529,                 1.3565,                 1.6232,                0.81103,                0.61242,                0.72267,                0.48265,                0.37448,                 23.906,                0.48494,               0.007921,               0.007921,               0.007921
                     23,                 1.3471,                 1.3402,                 1.6101,                0.73081,                 0.5892,                0.67669,                0.44579,                0.37831,                  24.65,                0.48467,               0.007822,               0.007822,               0.007822
                     24,                 1.3286,                  1.306,                 1.5988,                0.82567,                0.58635,                0.73592,                0.49917,                0.35498,                 25.277,                 0.4645,               0.007723,               0.007723,               0.007723
                     25,                 1.3287,                 1.3063,                 1.5948,                0.85903,                0.58794,                0.71219,                0.47674,                0.34933,                 20.375,                0.46205,               0.007624,               0.007624,               0.007624
                     26,                  1.321,                 1.2869,                 1.5932,                0.68237,                0.66252,                0.71944,                0.48431,                 0.3461,                 17.091,                0.46242,               0.007525,               0.007525,               0.007525
                     27,                 1.3129,                 1.2907,                  1.585,                0.73079,                0.63171,                0.72482,                0.48626,                0.35044,                 19.721,                0.46563,               0.007426,               0.007426,               0.007426
